model_family,feature_set,scope,n,mae,rmse,r2,directional_accuracy,prev_rmse,prev_r2,rmse_redux_vs_prev_pct,r2_gain_vs_prev
extra,M2_sector,Real Estate,432,0.2128037395954024,0.4099442383442692,0.0062556132409478105,0.7870370370370371,0.409127730869701,0.010210256775638915,-0.19957275270304903,-0.003954643534691105
extra,M3_company,Real Estate,432,0.21343154161153152,0.4092472053963441,0.009632090503160495,0.7916666666666666,0.4099442383442692,0.0062556132409478105,0.17003116100382737,0.003376477262212685
extra,M4_idio_vol,Real Estate,432,0.21330370182690467,0.4094994204447395,0.00841100624324742,0.7986111111111112,0.4092472053963441,0.009632090503160495,-0.06162902154729093,-0.0012210842599130745
extra,M5_text,Real Estate,432,0.21251028192266896,0.40748283862673795,0.018153128777680605,0.7939814814814815,0.4094994204447395,0.00841100624324742,0.4924504693587724,0.009742122534433184
extra,M0_baseline,Technology,469,0.2212251265753612,0.387758907237043,-0.007279126059889007,0.7825159914712153,,,,
extra,M1_macro,Technology,469,0.2292642713376926,0.3912593676736284,-0.02554746614311809,0.7697228144989339,0.387758907237043,-0.007279126059889007,-0.9027414641555951,-0.018268340083229084
extra,M2_sector,Technology,469,0.22767267436934552,0.3899444899321124,-0.018666078531073715,0.7739872068230277,0.3912593676736284,-0.02554746614311809,0.3360629419134627,0.006881387612044376
extra,M3_company,Technology,469,0.22263104819989676,0.387657018769543,-0.006749845411972322,0.7761194029850746,0.3899444899321124,-0.018666078531073715,0.5866145622336211,0.011916233119101394
extra,M4_idio_vol,Technology,469,0.22171361389920868,0.3874596864777904,-0.005725157707442197,0.7782515991471215,0.387657018769543,-0.006749845411972322,0.050903835658378215,0.001024687704530125
extra,M5_text,Technology,469,0.22184114973218325,0.3868182527379878,-0.0023979879920401626,0.7803837953091685,0.3874596864777904,-0.005725157707442197,0.16554851051306593,0.003327169715402034
hgb,M0_baseline,ALL,4526,0.19871054134083554,0.36611292009474816,-0.016447605318907543,0.6743261157755193,,,,
hgb,M1_macro,ALL,4526,0.19768076108899094,0.36224758761396064,0.004901915525873712,0.6904551480335838,0.36611292009474816,-0.016447605318907543,1.0557760375643646,0.021349520844781256
